initial_state_id,sampling_method,state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,teacher_optimizer_success,teacher_prediction_feasible,teacher_accepted,teacher_status,teacher_objective,teacher_solve_time_s,teacher_minimum_constraint_margin
paper_ic_047,hammersley,0.13442752100840338,0.00421875,0.017777777777777778,31.4512,9.795918367346939,True,True,True,Optimization terminated successfully,7.338733348895334,0.6112773999993806,-1.4642864698544145e-10
paper_ic_048,hammersley,0.13515231092436975,0.04921875,0.047777777777777766,33.1312,0.029154518950437316,True,True,True,Optimization terminated successfully,7.737803015277327,0.886902199999895,-1.945544170212088e-09
paper_ic_049,hammersley,0.13587710084033613,0.02671875,0.07777777777777777,25.1344,1.4577259475218658,True,True,True,Optimization terminated successfully,6.623978796705892,0.8424942000019655,-6.994476109412062e-09
paper_ic_050,hammersley,0.13660189075630252,0.07171875,0.027777777777777776,26.8144,2.886297376093294,True,True,True,Optimization terminated successfully,6.683037477646742,0.9020501999984845,-1.7741257352099638e-09
paper_ic_051,hammersley,0.1373266806722689,0.01546875,0.057777777777777775,28.4944,4.314868804664723,True,True,True,Optimization terminated successfully,6.908880661340657,0.8205027000003611,-2.368167884014838e-10
paper_ic_052,hammersley,0.1380514705882353,0.060468749999999995,0.08777777777777776,30.1744,5.743440233236151,True,True,True,Optimization terminated successfully,7.202714907535779,0.8845357999998669,-9.275140655518044e-10
paper_ic_053,hammersley,0.1387762605042017,0.037968749999999996,0.0022222222222222222,31.8544,7.172011661807579,True,True,True,Optimization terminated successfully,7.279629343835468,0.8138968000021123,-4.743583303934429e-11
paper_ic_054,hammersley,0.13950105042016808,0.08296875,0.03222222222222222,25.4704,8.600583090379008,True,True,True,Optimization terminated successfully,6.446721413381287,0.7011977999973169,-3.999431896772876e-10
paper_ic_055,hammersley,0.14022584033613447,0.00984375,0.062222222222222213,27.1504,0.23323615160349853,True,True,True,Optimization terminated successfully,6.757692484668691,1.1040433999987727,-7.976552751642885e-11
paper_ic_056,hammersley,0.14095063025210086,0.05484375,0.012222222222222221,28.8304,1.6618075801749268,True,True,True,Optimization terminated successfully,6.822603937441203,0.8719119999987015,-6.427995913327322e-10
paper_ic_057,hammersley,0.14167542016806722,0.03234375,0.04222222222222222,30.5104,3.0903790087463556,True,True,True,Optimization terminated successfully,7.075515013307289,0.8269873999997799,-1.914166603000922e-09
paper_ic_058,hammersley,0.1424002100840336,0.07734375,0.07222222222222222,32.1904,4.518950437317784,True,True,True,Optimization terminated successfully,7.409237958111646,0.8471355000001495,-2.416911115687981e-10
