trajectory_id,initial_soc,initial_polarization_1_v,initial_polarization_2_v,initial_previous_current_a,split
global_217,0.4030820312500001,0.010123456790123456,0.059039999999999995,1.574344023323615,test
global_218,0.75258203125,0.040123456790123455,0.08904000000000002,3.0029154518950434,validation
global_219,0.18464453125000002,0.07012345679012344,0.11904,4.431486880466472,train
global_220,0.53414453125,0.020123456790123458,0.14904,5.8600583090379015,test
global_221,0.35939453125,0.050123456790123457,0.00048,7.28862973760933,train
global_222,0.27201953125,0.00345679012345679,0.06048,0.34985422740524785,test
global_223,0.62151953125,0.03345679012345679,0.09047999999999999,1.7784256559766762,train
global_224,0.4467695312500001,0.06345679012345679,0.12048,3.206997084548105,train
global_225,0.79626953125,0.01345679012345679,0.0064800000000000005,4.635568513119534,train
global_226,0.101365234375,0.04345679012345679,0.036480000000000005,6.0641399416909625,train
global_227,0.45086523437500003,0.07345679012345677,0.06648,7.492711370262391,train
global_228,0.276115234375,0.023456790123456788,0.09648,8.92128279883382,train
global_229,0.625615234375,0.053456790123456784,0.12648,0.553935860058309,test
global_230,0.188740234375,0.08345679012345678,0.01248,1.9825072886297375,test
global_231,0.538240234375,0.0067901234567901226,0.04248,3.411078717201166,validation
global_232,0.36349023437500005,0.03679012345679012,0.07248,4.839650145772595,train
global_233,0.14505273437500002,0.016790123456790124,0.13248,7.696793002915453,train
global_234,0.494552734375,0.046790123456790116,0.018479999999999996,9.125364431486881,train
global_235,0.31980273437500006,0.07679012345679011,0.048479999999999995,0.7580174927113703,train
global_236,0.669302734375,0.026790123456790122,0.07848,2.186588921282799,validation
global_237,0.23242773437500003,0.05679012345679012,0.10848,3.6151603498542273,train
global_238,0.581927734375,0.08679012345679012,0.13848,5.043731778425657,train
global_239,0.40717773437500004,0.0012345679012345679,0.024480000000000002,6.4723032069970845,train
