time_s,charge_current_a,ann_unclipped_current_a,ann_requested_current_a,safety_filtered_current_a,safety_filter_intervened,safety_override,target_current_cap_active,ann_inference_time_s,soc,terminal_voltage_v,average_temperature_c,source,anchor_temperature_c
3115.0,2.6087058994205123,3.517877790967158,3.517877790967158,2.6087058994205123,True,False,False,8.36e-05,0.767767488386877,4.158948512823317,23.047907953476795,chen2020_dfn,15.0
3120.0,2.5942088769150655,3.5229747110470684,3.5229747110470684,2.5942088769150655,True,False,False,8.340000000000001e-05,0.7684881019637979,4.1589242620180835,23.028278937699042,chen2020_dfn,15.0
3125.0,2.57985769084061,3.5279369773840106,3.5279369773840106,2.57985769084061,True,False,False,8.59e-05,0.7692047291001425,4.158898623475215,23.008480210567484,chen2020_dfn,15.0
3130.0,2.5656483953367886,3.5327559100240986,3.5327559100240986,2.5656483953367886,True,False,False,8.49e-05,0.7699174092099582,4.158871600990061,22.988517171348406,chen2020_dfn,15.0
3135.0,2.551577220333273,3.537423906389704,3.537423906389704,2.551577220333273,True,False,False,8.78e-05,0.7706261806600507,4.15884319600359,22.968395061247975,chen2020_dfn,15.0
3140.0,2.5376405633859394,3.5419344397475467,3.5419344397475467,2.5376405633859394,True,False,False,8.39e-05,0.7713310808165468,4.158813408541754,22.948118969480163,chen2020_dfn,15.0
3145.0,2.5238349807063845,3.54628205179345,3.54628205179345,2.5238349807063845,True,False,False,8.54e-05,0.7720321460889652,4.1587822378381265,22.92769383910479,chen2020_dfn,15.0
3150.0,2.510157179839262,3.5504623389018617,3.5504623389018617,2.510157179839262,True,False,False,8.43e-05,0.7727294119722538,4.158749682804537,22.907124472654232,chen2020_dfn,15.0
3155.0,2.4966040119646626,3.5544719325655207,3.5544719325655207,2.4966040119646626,True,False,False,0.000141,0.7734229130866884,4.15871574235104,22.88641553753365,chen2020_dfn,15.0
3160.0,2.483172464762689,3.5583084738545017,3.5583084738545017,2.483172464762689,True,False,False,8.5e-05,0.7741126832157892,4.158680551461014,22.865571971504096,chen2020_dfn,15.0
3165.0,2.469859655517932,3.561970410536727,3.561970410536727,2.469859655517932,True,False,False,8.59e-05,0.774798755342322,4.158643939506748,22.844597803978957,chen2020_dfn,15.0
3170.0,2.456662825267082,3.5654574702553257,3.5654574702553257,2.456662825267082,True,False,False,8.680000000000001e-05,0.775481161682674,4.158605918892717,22.823497323743823,chen2020_dfn,15.0
